year,word,frequency,topic
2002,ambiguous,0.0016529324888833305,14
2003,ambiguous,0.0017552481516778717,14
2004,ambiguous,0.001923899697473602,14
2005,ambiguous,0.002188174716874018,14
2006,ambiguous,0.0023993190697905865,14
2007,ambiguous,0.002285340988923922,14
2008,ambiguous,0.002059428806439664,14
2009,ambiguous,0.001863760327856458,14
2010,ambiguous,0.0017358668816256587,14
2011,ambiguous,0.0016924675899549833,14
2012,ambiguous,0.0016441619992541173,14
2013,ambiguous,0.0015770767735397713,14
2014,ambiguous,0.0014993340658020224,14
2015,ambiguous,0.0014417519733042525,14
2016,ambiguous,0.001362361080478863,14
2017,ambiguous,0.0012592745454016846,14
2000,category,0.0027217807745195054,14
2001,category,0.002652105682134375,14
2002,category,0.0025660158071874263,14
2003,category,0.002420256240902217,14
2004,category,0.002181489884496108,14
2005,category,0.0019558019492511547,14
2006,category,0.0017810292623790522,14
2007,category,0.0016717788213376687,14
2008,category,0.0016058382035429866,14
2009,category,0.001538086050763163,14
2010,category,0.0014614287541555443,14
2011,category,0.001385474590465887,14
2012,category,0.001310266391709944,14
2013,category,0.0012524435062523077,14
2014,category,0.001179617611156128,14
2015,category,0.0011195024648684567,14
2016,category,0.0010885029170808063,14
2017,category,0.0010667866938008175,14
2000,tense,0.0017052425176576902,14
2001,tense,0.0016136988102629982,14
2002,tense,0.001514284466592222,14
2003,tense,0.0014257272495173917,14
2004,tense,0.0013681731495899772,14
2005,tense,0.0013748300422060744,14
2006,tense,0.0014162243791184881,14
2007,tense,0.0015030109419468698,14
2008,tense,0.0016165425872082526,14
2009,tense,0.001738522849544029,14
2010,tense,0.0018242228748526024,14
2011,tense,0.0019596254474946216,14
2012,tense,0.002165455865634287,14
2013,tense,0.0022575697202697515,14
2014,tense,0.0021892847523841555,14
2015,tense,0.0019426796506732266,14
2016,tense,0.0017160482566262398,14
2017,tense,0.001568483611221955,14
2000,prediction,0.0017425912797198152,14
2001,prediction,0.0017389620147255913,14
2002,prediction,0.0017031800513377232,14
2003,prediction,0.0016842393632620723,14
2004,prediction,0.0016955543442568376,14
2005,prediction,0.0017598987182653315,14
2006,prediction,0.0018337380192057654,14
2007,prediction,0.001896790031696579,14
2008,prediction,0.001970035196431074,14
2009,prediction,0.001972982999018306,14
2010,prediction,0.0018281374463878404,14
2011,prediction,0.0016345846823362245,14
2012,prediction,0.0015085587185423134,14
2013,prediction,0.0014595223550147398,14
2014,prediction,0.0014581252186329776,14
2015,prediction,0.0014714174238315597,14
2016,prediction,0.0015325715260298693,14
2017,prediction,0.0016206746231466384,14
2000,marking,0.0013414951992910117,14
2001,marking,0.0014174393094113617,14
2002,marking,0.0015213582906661212,14
2003,marking,0.0015797062476747684,14
2004,marking,0.0016017179429136342,14
2005,marking,0.0016084375440575502,14
2006,marking,0.0016213109038749616,14
2007,marking,0.0015697875403323088,14
2008,marking,0.0015570749910060132,14
2009,marking,0.0015940497769263906,14
2010,marking,0.0016731508575995103,14
2011,marking,0.001740318949154164,14
2012,marking,0.001834839713648167,14
2013,marking,0.0019169828202266848,14
2014,marking,0.0019554261169641156,14
2015,marking,0.0019680531331254542,14
2016,marking,0.0019220531918011515,14
2017,marking,0.0018928752041238017,14
2000,region,0.0016621755643493304,14
2001,region,0.0015909077549765736,14
2002,region,0.0015362755890158384,14
2003,region,0.0015165350529826975,14
2004,region,0.0014948263390975572,14
2005,region,0.0014989994574493718,14
2006,region,0.0015568243899980198,14
2007,region,0.0016180216238699879,14
2008,region,0.0016127040316704475,14
2009,region,0.0016093979308924634,14
2010,region,0.0017222524399950294,14
2011,region,0.001989939386774175,14
2012,region,0.002212627593570625,14
2013,region,0.002145452097304605,14
2014,region,0.0019507767498267137,14
2015,region,0.0016797619497727033,14
2016,region,0.0014965769209894287,14
2017,region,0.0014082574487211423,14
2000,element,0.0013087180041818885,14
2001,element,0.0013225348821012289,14
2002,element,0.0013328797332135883,14
2003,element,0.0013300350842219226,14
2004,element,0.0013596455337626353,14
2005,element,0.001433916931946522,14
2006,element,0.0015385355435925414,14
2007,element,0.0016745879291810639,14
2008,element,0.0018104582520087277,14
2009,element,0.001930647280089606,14
2010,element,0.00203283121808653,14
2011,element,0.0021143536747878816,14
2012,element,0.002057101850225143,14
2013,element,0.0019316178470611112,14
2014,element,0.0018600534469161694,14
2015,element,0.0017709248197436663,14
2016,element,0.0017331228598900742,14
2017,element,0.001676360558546203,14
2000,occur,0.002025803996069351,14
2001,occur,0.002003075906636413,14
2002,occur,0.0019599505025115036,14
2003,occur,0.0019051727704703142,14
2004,occur,0.001856579504041283,14
2005,occur,0.0018095521186596729,14
2006,occur,0.0017768748530524795,14
2007,occur,0.0017435776786367371,14
2008,occur,0.0016942220965726028,14
2009,occur,0.0016288966738900975,14
2010,occur,0.0015540153302059446,14
2011,occur,0.0014853399665029727,14
2012,occur,0.0014400691123404264,14
2013,occur,0.001412519854370018,14
2014,occur,0.001409398644937949,14
2015,occur,0.0014269880043251458,14
2016,occur,0.0014600740545878035,14
2017,occur,0.0014789102736911981,14
2000,head,0.0011375987341591216,14
2001,head,0.001207146870302959,14
2002,head,0.0013318053748866774,14
2003,head,0.001496186855400695,14
2004,head,0.0016512888786691907,14
2005,head,0.0017684112282717796,14
2006,head,0.0018245266002212617,14
2007,head,0.0018979302898870704,14
2008,head,0.002052860671234084,14
